GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
workshop-api,nl.hsleiden.resource,ItemResource,31,0,0,0,11,0,6,0,6,0
workshop-api,nl.hsleiden.resource,UserResource,34,0,0,0,12,0,7,0,7,0
workshop-api,nl.hsleiden.resource,OrderResource,41,0,0,0,14,0,8,0,8,0
workshop-api,nl.hsleiden.resource,AnimatorResource,31,0,0,0,11,0,6,0,6,0
workshop-api,nl.hsleiden.resource,DefaultResource,17,0,0,0,3,0,2,0,2,0
workshop-api,nl.hsleiden.resource,BasketResource,47,0,0,0,15,0,9,0,9,0
workshop-api,nl.hsleiden,ApiApplication,137,0,0,0,34,0,8,0,8,0
workshop-api,nl.hsleiden,ClientFilter,157,0,14,0,18,0,14,0,7,0
workshop-api,nl.hsleiden,View.Internal,3,0,0,0,1,0,1,0,1,0
workshop-api,nl.hsleiden,View.Public,3,0,0,0,1,0,1,0,1,0
workshop-api,nl.hsleiden,ApiGuiceModule,4,0,0,0,2,0,2,0,2,0
workshop-api,nl.hsleiden,View,3,0,0,0,1,0,1,0,1,0
workshop-api,nl.hsleiden,View.Protected,3,0,0,0,1,0,1,0,1,0
workshop-api,nl.hsleiden,ApiConfiguration,18,0,0,0,6,0,4,0,4,0
workshop-api,nl.hsleiden,Credentials,3,0,0,0,1,0,1,0,1,0
workshop-api,nl.hsleiden,Database,33,63,6,2,11,17,6,7,2,7
workshop-api,nl.hsleiden,View.Private,3,0,0,0,1,0,1,0,1,0
workshop-api,nl.hsleiden,ApiUnauthorizedHandler,11,0,0,0,5,0,2,0,2,0
workshop-api,nl.hsleiden.persistence,UserDAO,160,105,0,2,41,27,3,6,3,5
workshop-api,nl.hsleiden.persistence,ItemDAO,239,0,2,0,63,0,8,0,7,0
workshop-api,nl.hsleiden.persistence,OrderDAO,267,0,2,0,71,0,10,0,9,0
workshop-api,nl.hsleiden.persistence,AnimatorDAO,200,0,2,0,54,0,8,0,7,0
workshop-api,nl.hsleiden.persistence,BasketDAO,285,0,2,0,75,0,11,0,10,0
workshop-api,nl.hsleiden.service,AnimatorService,46,0,0,0,11,0,6,0,6,0
workshop-api,nl.hsleiden.service,UserService,118,0,6,0,21,0,9,0,6,0
workshop-api,nl.hsleiden.service,OrderService,60,0,0,0,13,0,8,0,8,0
workshop-api,nl.hsleiden.service,ItemService,58,0,0,0,11,0,6,0,6,0
workshop-api,nl.hsleiden.service,BaseService,20,0,4,0,7,0,5,0,3,0
workshop-api,nl.hsleiden.service,BasketService,62,0,0,0,14,0,9,0,9,0
workshop-api,nl.hsleiden.service,AuthenticationService,19,10,4,0,4,4,3,2,1,2
workshop-api,nl.hsleiden.model,Basket,46,0,0,0,20,0,10,0,10,0
workshop-api,nl.hsleiden.model,Animator,46,0,0,0,20,0,10,0,10,0
workshop-api,nl.hsleiden.model,User,47,66,1,5,18,21,14,8,13,6
workshop-api,nl.hsleiden.model,Order,56,0,0,0,24,0,12,0,12,0
workshop-api,nl.hsleiden.model,Item,48,0,0,0,18,0,9,0,9,0
